,product_name,price,timestamp
0,Crude Oil WTI,70.95,1623699592
1,Crude Oil Brent,72.91,1623699496
2,Natural Gas,3.358,1623699541
3,ULSD NY Harbor,2.1119,1623699540
4,oilandpetroleumblend,95.52,1623699541
5,Gulf Sour Crude Oil,70.46,1623628380
6,Opec Basket Price,71.31,1623387600
7,Canadian Crude Index,56.01,1623387600
8,DME Crude Oil Oman,71.48,1623387600
9,Pemex,67.11,1623387600
10,Indian Basket,71.42,1623387600
11,WCS,56.86,1623650402
12,Dubai,70.609,1623387600
13,Brent Average,72.68,1623387600
14,Louisiana Light,73,1623387600
15,Coastal Grade A,60.5,1623387600
16,Domestic Swt. @ Cushing,67.5,1623387600
17,Giddings,61.25,1623387600
18,ANS West Coast,72.21,1623301200
19,Gulf Coast HSFO,60.5,1623387600
20,Gasoline RBOB,2.1751,1623699495
21,Ethanol Futures,2.46,1623694560
22,Alberta Natural Gas,3.15,1623387600
23,Dutch TTF Natural Gas,9.893,1623387600
24,LNG Japan/Korea Marker,10.92,1623387600
